target_id,t_sim,x,y,z
CUBE_1,54.601,-119.999992,0.000000,62.788807
CUBE_3,54.834,201.856247,24.943848,-47.938488
CUBE_1,54.836,-119.999992,0.000000,61.578098
CUBE_3,55.072,201.856247,24.943848,-51.367069
CUBE_1,55.074,-119.999992,0.000000,60.415916
CUBE_3,55.315,201.856247,24.943848,-54.759541
CUBE_1,55.321,-119.999992,0.000000,59.286488
CUBE_3,55.579,201.856247,24.943848,-58.345875
CUBE_1,55.589,-119.999992,0.000000,58.138538
CUBE_3,55.839,201.856247,24.943848,-61.765186
CUBE_1,55.841,-119.999992,0.000000,57.143120
CUBE_3,56.052,201.856247,24.943848,-64.488434
CUBE_1,56.054,-119.999992,0.000000,56.359097
CUBE_3,56.282,199.194427,24.943848,-64.694412
CUBE_1,56.289,-119.999992,0.000000,55.561134
CUBE_3,56.507,196.489182,24.943848,-64.706192
CUBE_1,56.509,-119.999992,0.000000,54.870033
CUBE_3,56.730,193.842972,24.943848,-64.713257
CUBE_1,56.735,-119.999992,0.000000,54.225388
CUBE_3,57.002,189.537399,24.943848,-64.713257
CUBE_1,57.004,-119.999992,0.000000,53.535519
CUBE_3,57.228,185.922485,24.943848,-64.713440
CUBE_1,57.232,-119.999992,0.000000,53.020847
CUBE_3,57.468,182.083527,24.943848,-64.713440
CUBE_1,57.470,-119.999992,0.000000,52.538452
CUBE_3,57.700,178.365814,24.943848,-64.713440
CUBE_1,57.702,-119.999992,0.000000,52.073036
CUBE_3,57.923,174.789917,24.943848,-64.713440
CUBE_1,57.930,-119.999992,0.000000,51.618900
CUBE_3,58.161,170.997162,24.943848,-64.713440
CUBE_1,58.186,-119.999992,0.000000,51.106346
CUBE_3,58.396,167.223068,24.943848,-64.713440
CUBE_1,58.410,-119.999992,0.000000,50.657799
CUBE_3,58.660,163.005692,24.943848,-64.713440
CUBE_1,58.662,-119.999992,0.000000,50.153309
CUBE_3,0.000,17.237448,1.751060,-124.713455
CUBE_1,0.000,0.000000,0.000000,0.000000
CUBE_3,0.000,17.237448,1.751060,-124.713455
CUBE_1,0.000,0.000000,0.000000,0.000000
CUBE_3,0.020,17.237448,1.751060,-124.713455
CUBE_1,0.216,0.000000,0.000000,0.000000
CUBE_2,0.317,-3.725736,0.292797,-204.447708
CUBE_1,0.324,0.000000,0.000000,-0.000861
CUBE_2,0.631,-3.725736,0.292797,-204.578949
CUBE_1,0.635,0.000000,0.000000,-0.120606
CUBE_2,0.878,-3.725736,0.292797,-204.816406
CUBE_1,0.880,0.000000,0.000000,-0.347413
CUBE_2,1.097,-3.725736,0.292797,-205.130096
CUBE_1,1.099,0.000000,0.000000,-0.652411
CUBE_2,1.412,-3.725736,0.292797,-205.729660
CUBE_1,1.415,0.000000,0.000000,-1.245270
CUBE_2,1.662,-3.725736,0.292797,-206.230286
CUBE_1,1.665,0.000000,0.000000,-1.745326
CUBE_2,1.881,-3.725736,0.292797,-206.965439
CUBE_1,1.884,0.000000,0.000000,-2.183703
CUBE_2,2.104,-3.725736,0.292797,-208.299423
CUBE_1,2.106,0.000000,0.000000,-2.627797
CUBE_2,2.321,-3.725736,0.292797,-209.603897
CUBE_1,2.325,0.000000,0.000000,-3.066418
CUBE_2,2.558,-3.725736,0.292797,-211.023209
CUBE_1,2.560,0.000000,0.000000,-3.535300
CUBE_2,2.837,-3.725736,0.292797,-212.698944
CUBE_1,2.839,0.000000,0.000000,-4.093979
CUBE_1,5.104,0.000000,0.000000,-8.614036
CUBE_3,5.106,17.237448,1.751060,-124.713623
CUBE_1,5.444,0.000000,0.000000,-9.294326
CUBE_3,5.446,17.237448,1.751060,-124.898407
CUBE_1,5.665,0.000000,0.000000,-9.737660
CUBE_3,5.667,17.237448,1.751060,-125.205444
CUBE_1,5.891,0.000000,0.000000,-10.189929
CUBE_3,5.894,17.237448,1.751060,-125.644455
CUBE_1,6.469,0.000000,0.000000,-11.344210
CUBE_3,6.471,17.237448,1.751060,-126.798325
CUBE_1,6.717,0.000000,0.000000,-11.841590
CUBE_3,6.721,17.237448,1.751060,-127.298325
CUBE_1,6.934,0.000000,0.000000,-12.274503
CUBE_3,6.936,17.237448,1.751060,-127.726898
CUBE_1,7.181,0.000000,0.000000,-12.768369
CUBE_3,7.183,17.237448,1.751060,-128.220703
CUBE_1,7.393,0.000000,0.000000,-13.192284
CUBE_3,7.395,17.237448,1.751060,-128.644485
CUBE_1,7.618,0.000000,0.000000,-13.643467
CUBE_3,7.620,17.237448,1.751060,-129.095673
CUBE_1,7.923,0.000000,0.000000,-14.252225
CUBE_3,7.925,17.237448,1.751060,-129.704529
CUBE_1,8.170,0.000000,0.000000,-14.747911
CUBE_3,8.173,17.237448,1.751060,-130.200409
CUBE_1,8.436,0.000000,0.000000,-15.278937
CUBE_3,8.438,17.237448,1.751060,-130.731094
CUBE_1,8.665,0.000000,0.000000,-15.736388
CUBE_3,8.667,17.237448,1.751060,-131.188538
CUBE_1,8.874,0.000000,0.000000,-16.208370
CUBE_3,8.876,17.237448,1.751060,-131.607086
CUBE_1,9.149,0.000000,0.000000,-17.829269
CUBE_3,9.153,17.237448,1.751060,-132.160660
CUBE_1,9.375,0.000000,0.000000,-19.188507
